,title,comment,score
1055,awesome app call international…,awesome app call international calls,5
1056,able use system…indolence,able use system renewing get taken around circles renew 36 hours trying make call get money back,1
1057,excellent call quality,excellent call quality affordable whole worlds choice,5
1058,like voice quality and…,like voice quality cost good,5
1059,great service,initially issues making calls downloaded rebltel app support team really committed ensuring sorted enjoying making international calls cheap rate,5
1060,great communication ease,great communication ease,5
1061,rebtel excellent service,rebtel excellent affordable service live uk make regular calls relatives netherlands service helped keep cost still regular interactions family back home line far always clear connection quickly made improvement points point time,5
1062,excellent service,excellent service simple use quick answer questions great value,5
1063,great app,great app use,5
1064,best calling app,best calling app,5
1065,rebtel nice alternative other…,rebtel nice alternative plans international phone service long internet connection smooth easy would definitely recommend anyone looking less expensive options international phone service,4
1066,great customer service,great customer service,4
1067,thanks,thanks quality call,5
1068,set accounts wanted to…,set accounts wanted combine cs rep helpful combined accounts,5
1069,excellent service,excellent service ease use extra hidden charges definitely unlimited conversation overseas,5
1070,thanks rebtel,thanks rebtel,5
1071,great,great make life easy,5
1072,good service fair price,good service fair price flawless easy quick quality affordable recommended everyone,5
1073,overall good,great connection nice sound little delay reasonable price,5
1074,called brother nigeria,called brother nigeria kept getting lady columbus ohio,1
1075,really good quality fees ok,really good quality fees ok,5
1076,started using company,started using company wife cuba ive double charges bank statements ive emailed respknse ever im gjving another 24 hours response going bank fraudulent charges understand systens issues everytime send money account charges twice much bs,1
1077,good app,good app using last months complaints,5
1078,moment good,moment good,5
1079,good service,good service,4
1080,satisfied,satisfied,1
1081,great service,great prices great connection,5
1082,think rebtel much better skype,think product much better skype easier use quality sound better price level better skype possibility reach customer service superior skype,5
1083,great service could better thank…,great service could better thank mucj,5
1084,good experience overseas…,good experience overseas calling,4
1085,good calling app excellent…,good calling app excellent voice clarity connect without internet quite sad though nigeria subscription quite high,4
1086,calling quality excellent could…,calling quality excellent could give stars dont know whether call ringing hope develop soon,4
1087,really like app,really like app,5
1088,rebtel awesome,rebtel awesome friend recommended since use app make phone calls love quality call great,5
1089,great service,great service,4
1090,excellent can…,excellent easily international call really like happy,5
1091,good service low price,good service low price,4
1092,excellent platform,excellent platform great price,5
1093,economical long distance…,economical long distance calls nigeria houston thanks,5
1094,call rebtel country has…,call rebtel country never missed recipients quality conversation also great,5
1095,complaints to…,complaints calling intenationally reason give stars website confusing get started contacting representative easy,4
1096,excellent service,excellent service definitely recommend,5
1097,good,okkkkkkkkkkkk,5
1098,great simple use international…,great simple use international phone service good price good sound quality,5
1099,clear superb service,clear superb service,5
1100,stars,connect parents anytimegood signal without internet connection good price,5
1101,good app expecting drop…,good app expecting drop calls talking fair price using global unlimited tariff good already recommend lot friends keep recommending others nice service fair prices,4
1102,good product,good product,5
1103,quite disappointed their…,quite disappointed service decided use service first time yesterday father day send credit dad back home nigeria till delivered taken amount account emailed severally response normally use world remit send credit back home decided try guess wrong move need money back credit sent recipient,1
1104,super,super excellent phone company,5
1105,bought global unlimited subscription…,ticket number updated 1504667,2
1106,affordable convenience call…,affordable convenience call landline,5
1107,india calling are…,india calling disconnected time facing issue sometime,3
1108,service great and…,service great awesomesatisfied days encountered many times call getting disconnected frequentlyplease work issue try resolve asap would great,4
1109,rebtel good,rebtel good,4
1110,far love im paying an…,far love im paying arm leg calls clear,5
1111,best thing happened international calling,think greatest thing happened international callingyour rates affordable phone line connection service outstandingi hope rest life 72 years agethank rebtelthank,5
1112,good service,good service,5
1113,good tested okay,well first time use app good excellent also order minutes continue calling,5
1114,far,far good,4
1115,last week could get…,last week could get connecting side sad frustrated,3
1116,excellent service,excellent service,5
1117,stoped use rebtel,stoped use rebtel normally tarif colombia 6€ check bank account changed price 115€ two months ago didnt say anything information price spencer,3
1118,good service,good service,5
1119,afford keep close touch…,afford keep close touch family overseas easy use practical app,5
1120,always work towards improvement,though app bugs confuses first time userthe people behind app coolall best,4
1121,hi like service really nice but…,hi like service really nice last days cant able call person got answer calling exist friends number working fine,4
1122,rebtel great,rebtel great ive used years always happy service price great connections already recommended rebtel others continue,5
1123,waste money never use app,avoid app,1
1124,voice level low,voice level low barely hear even though turned maximum phone,3
1125,excellent service,excellent service,5
1126,essay used fast i…,essay used fast recommended,4
1127,great price unlimited calls,great price unlimited calls 50 countries,4
1128,ok,im satisfied service really like,5
1129,good app call countries less…,good app call countries less cost,5
1130,best service,best service,5
1131,good quality voice,good quality voice using technique better quality,5
1132,called native country it…,called native country rang thought friends receiving call sometime realized didnt get notification like called actuality didnt receive call please solve issue also people using rebtel thank,3
1133,cheap,cheap easy,5
1134,thank able use rebtel…,thank able use rebtel really good would recomend friends mp,5
1135,great service,great service issues,5
1136,calling nz many times always…,calling nz many times always connected,1
1137,thank,quick addressed correctly thanks,4
1138,far pleased,far pleased,4
1139,good,good good good,4
1140,countries world unlimited,would great countries venezuela ecuador added world unlimited plan,5
1141,love app universal…,love app universal subscription specially helped cut costs lot religiously use,5
1142,regret,international caller like rebtel calls crystal clear calls drop call anywhere world love,5
1143,excellent quality call services,excellent quality call services,5
1144,good experience,good experience trusted reliable well,4
1145,great experience rebtel,great experience rebtel clear voice easy connect,5
1146,top £5 credit call…,top £5 credit call philippines call wasnt get everytime answer call dissapointing,1
1147,clear voice good,clear voice good,4
1148,great connection,great way connect folks back nigeria united states app easy download top convinient navigation app simple cheap compared platform awesome,5
1149,rebtel awesome,rebtel awesome call ghana west africa cheaply crystal clear sound usa,5
1150,recently purchase rebtel services to…,recently purchase rebtel services call india 51228 billed 10 every week option auto deduct money card balance less billed times month noticed credit card transaction rely services never save credit card site customer services never understand customer issue biggest irony company provides calling services world customer service number connect customer service rude believe buy product careful transaction,1
1151,best package anyone ask,best package anyone ever ask get unlimited calls 10 amazing definitely worth money,5
1152,using rebtel almost…6months,using rebtel almost 6months never experienced problem,1
1153,problems send nauta…,problems send nauta recharge thsnks,4
1154,cheaper easier way to…,cheaper easier way talk anyone india useful thank,5
1155,ive using app months…,ive using app months already really like 100 better app voxofon,5
1156,two months with…,two months rebtelso far complain👍👍,5
1157,contacted several times…,contacted several times changes tariff made received response ridiculous fact yoy ignoring customers least acknowledge email pay every month,1
1158,rebtel good call quality,rebtel good call quality,5
1159,charging phone balance rebtel balance,making international call spain bangladesh bought monthly package calling phone lines rebtel using mobile network thereby phone balance used international calls well purchased minutes rebtel also used dont understand phone balance rebtel dont allow call phone lines option,1
1160,excellent service,excellent service,4
1161,crystal line great allowing to…,crystal line great allowing usa free thats alone excellent service,5
1162,excellent app talk my…,excellent app talk family really love,5
1163,good except,good defect whenever call person reciever phone swtiched signlas still getting dial tone ringing misleading,4
1164,using rebtel months to…,using rebtel months realise mobile network charging international calls made via rebtel rebtel also charging international calls charged twice paying full direct costs international calls also charged rebtel cost several hundreds £££s past months possible rebtel charging international calls uk access also phone provider charging calls full international mobile phone rates beware rebtel may end paying twice calls incurring additional costs without realising check phone bills unfortunately possible contact anyone rebtel phone even make complaint,1
1165,made first rebtel call last nite,made first rebtel call last nite took hour figure including putting credit card info would money account actually dial number recognizing code comes finally figuring connection philippines good two second delay us learned work think use service much easier use ancient variety probably challenging young person,3
1166,satisfied,satisfied app helpful communications,5
1167,recommend rebtel anyone,recommend rebtel anyone convenient make call anytime anywhere cheap compare otherput app phone dont stop talking,5
1168,sometimes call lags,sometimes call lags perfect,4
1169,bad service lost money,bad service lost money,1
1170,beware cheated rebtel customer support finding excuses,sharing honest experience rebtel extremely shocked company app malfunction wherein charged international calls provider 100 dollars fees rebtel finding excuses trying brainwash thinking something wrong,1
1171,great plan,great plan always reliable issue respond,5
1172,good connections clear call lines,good connections clear call lines,5
1173,fast connect person,fast connect person,5
1174,great way stay touch with…,great way stay touch families singapore,5
1175,would like recommend company,would like recommend company low cost good quality,5
1176,really useful app,really useful app like much cheap well make much calls want within 10,4
1177,convenient use,convenient use cheap add numbers purchase online simple,5
1178,like using rebtel,like using rebtel easy use like display minutes used flags kmow right away connected right country many minutes used many left connection clear never cut far working well like conversion american canadian dollars inconvineince,5
1179,excellent price,excellent price compared competition first customer service contact quickly problem complaint try solve quickly,5
1180,great deal rabtel,satisfied rabtel suggest friends family,5
1181,excellent service,excellent service,5
1182,generally,generally good service,4
1183,great fast customer service,using months good service however happened one fine morning got phone bill realized calls go rebtel hence fat bill phone company escalated rebtel looked issue instantly resolved even compensated losses mine really great gesture side hence recommend rebtel customer focused product keep using services always,5
1184,service good no…,service good interruptions call really could make,1
1185,voice calls improved lot,voice calls improved lot,3
1186,excellent,excellent reservations would recommend company anyone,5
1187,great voice clear…,great voice clear person situations,4
1188,great network sound very…,great network sound clear would recommend time loving rebtel network,5
1189,cuba hear,great quality calls push button right app,5
1190,super good quality,super good quality cheap thats need,5
1191,good service,good service issues sofor cost reasonable,5
1192,good aspects,good aspects still room improvement make number one ☝️,4
1193,nice quality calls,nice quality calls india along ability call without internet amazing unlike apps like skype,5
1194,nice,nice call quality really good,5
1195,excellent work,tried many apps used many years skype better voip discount delight calling etc time delay voice break issues etc etc networks one friend suggested rebtel started using didnt feel drawback much much much better app whatever call,5
1196,great experience,great experience pounds months worth unlimited calling uk 54 countries nothing beat,5
1197,good cheaper means of…,good cheaper means communication long distances,5
1198,nice app affordable prices…,nice app affordable prices subscriptions,3
1199,rebtel amazing,rebtel amazing quality always good countries ive calling well done,5
1200,rebtel excellent,rebtel excellent,5
1201,excellent quality calls,excellent quality calls convenient month ago subscriptions prices coparison two months ago high,3
1202,useful,useful,4
1203,love,love app make happy everyday,5
1204,rebtel double charged than…,rebtel double charged today order 10 10 m8nutes later another 10 dollars deducted,1
1205,topup first use,topup first use know problem,1
1206,great network,great network,4
1207,nice,nice happy use,5
1208,clear quality,clear quality good rate recommended,5
1209,top marks happy service so…,top marks happy service fardavid ronnen,5
1210,consent,believe rebtel convenient rate ghana expensive would grateful could check me198cent per minute,4
1211,satisfied,enjoying rebtel cheap easly call wherever want really happy rebtel,5
1212,love application,love application useful amazing sound quality uninterrupted calls,5
1213,great experience making…,great experience making unlimited calls using less money,5
1214,conversion us cad makes…,conversion us cad makes expensive could think first still bit less expensive normal international calls considering country call list countries special offers good app nevertheless,3
1215,excellent,excellent service easy use,5
1216,£4 suscription £149 bill,careful suscribed £4 suscription received £149 bill using unlimited calls colombia skype years everything fine saw cheaper deal rebtel £4 decided try made many calls end every call showed cost call £000 later received bill mobile £149 thanks rebtel tried contact email nowhere call emailed explained numbers shown bill belong rebtel final email said responsible third parties speak mobile speak using mobile 10 years skype years never problem calls rebtel every call checked cost app showed £000they never replied email careful dont want anyone bad experience dont use rebtel,1
1217,good international calling,good international calling also costs less make call anywhere around world,5
1218,easy use great quality calls,easy use great quality calls,5
1219,currently best app used…,currently best app used long distance calls,5
1220,really great way keep touch with…,really great way keep touch family,5
1221,different phone companies…,different phone companies cheap calls germany rebtel one enjoy local numbers overseas friends easy quick call never worry running time since rebtel fills account needed credit card file happy company,5
1222,works,works simple,5
1223,excellent voice quality calls but…,excellent voice quality calls little expensive compared apps,4
1224,cheapest way connect with…,cheapest way connect loved ones really rebtel deserves great appreciation connects people many countries,4
1225,good clearance talk,good clearance talk,5
1226,calls drop minutes,calls drop minutes sometimes min sometimes min service perfect,4
1227,thank rebtel like,thank rebtel like,5
1228,fast helpful,fast helpful,5
1229,excellent company,excellent company fast clear connection friendly customer service needed best company rates call cuba,5
1230,excellent service,excellent service,5
1231,great call quality,great call quality,5
1232,excellent,excellent good network quick dialing customer,5
1233,cut extra fees recharge as…,cut extra fees recharge per say,1
1234,excellent service,excellent service,5
1235,good quality calls very…,good quality calls fast service sending credits,5
1236,im little old,im little old use things offer members say satisfied time years always recommend friends also elderly people using whatsapp also using mess,5
1237,excellent,excellent service happy deals rebtel offers,5
1238,excellent service,excellent service,5
1239,cheap genuine,cheap genuine good call quality highly recommended,5
1240,definitely cheaper calls quality of…,definitely cheaper calls quality sound great,3
1241,cost going double,cost going double,1
1242,good app supper…,good app supper quality love,5
1243,ok awhile a…,ok awhile sudden calls dont go even though 10 dollars,3
1244,cheaper landline problems…,cheaper landline problems connecting hidden monthly fees im happy,5
1245,everytime taking payment they…,ticket number finally gave 1471280,1
1246,complete,complete bollox better buy pigeon wrap money around one legs,1
1247,great app,great app works well great connection,5
1248,great service,great service,5
1249,nice service,nice service,5
1250,love app much👌🏻,love app much👌🏻,5
1251,would recommend service to…,would recommend service everybody,5
1252,good,good clarity voice,5
1253,satisfied customer,im happy able call family overseas whenever want without wait call easy use connection problems,5
1254,cant call,cant call always busy came take money bank without make ask angry,1
1255,bought 10 package 33 minutes…,bought 10 package 33 minutes calll received 30 minutes emailed complaint response nothing later receive surveys telling happy see happy see happythis pure nonsense buy customer service,1
1256,calls go problem…,calls go problem get fixed,1
1257,great service,great service excellent reception good value money,5
1258,easy access,easy access,4
1259,excellent,excellent,5
1260,fair pricing excellent connection quality,fair pricing connection quality excellent even calls east africa usa west coast easy purchase credits easy use simple attractive website,5
1261,friends told voice too…,friends told voice low speaking used rebtel,3
1262,good keep up👍,good keep up👍,5
1263,good hear another person voice…,good hear another person voice need much speed internet thats happy chose one see add work without inetrnet dont work internet,2
1264,hell cantt buy minutes just…,hell cantt buy minutes cuz bought five times week find different carrier,2
1265,good sometimes issue 4g,good sometimes issue 4g need improve abit,5
1266,reconnection rebtel,hello,5
1267,amazing could tard cheaper,amazing could tard cheaper east african countries,5
1268,contact rebel confined to…,contact rebel confined website email able find telephone number limited staff unable help eventually following protocol able obtain resolution problem,4
1269,good company,good company,5
1270,overall good,overall good,4
1271,really osmevery call rebtel…,really osmevery call rebtel overseas excellent voice clarity👌👌👌👌👌,5
1272,excellent far,excellent far rebtel improved lot terms quality seamless connectivity etc already recommended many friends,5
1273,excellent,excellent voice quality worth pay,5
1274,would give 10 stars,would give 10 stars,5
1275,excellent,excellent,5
1276,best app international calling in…,best app international calling cheapi love,5
1277,easy affordable great call quality,easy set account service fees call quality amazing referring friends sure,5
1278,service good,service good,5
1279,excellent service,excellent service easy use terrific price,5
1280,good,good experience use rebtel easy use cheap,5
1281,good service,good service,4
1282,good customer service team,good customer service team,4
1283,good rates india 30…,good rates india 30 days period still considered lower whatsapp free online voicevideo calls options,5
1284,samsung galaxy j3,samsung galaxy j3 rebtel shows contacts always dial number,4
1285,best calling app world,best calling app world,5
1286,rates pretty good calling…,rates pretty good calling international numbers something love app sometimes call quality quite bad,4
1287,rebtel low cost calling best quality,rebtel easy use low cost international calling plans rebtel must entrepeneurs companies working international would recommend rebtel anyone,5
1288,heard 120mine ever,heard 120mine ever different recharge 10 give 22mine south sudan,1
1289,still need improve,still need improve,4
1290,perfect,perfect apps,5
1291,depend time call family…,depend time call family back india worth every penny,5
1292,sometimes works great,sometimes works great sometimes really bad,4
1293,good,good give less time cal india,1
1294,sheit,tried make call belarus ended indian people south dakota kept telling minutes hold minute fk pay kind sheit scam messed wrong person want money back minutes waste time would like actually get contact someone rebtel customer service number website,1
1295,plan terms changed,plan terms changed card keeps charged even though auto top balance low checked,1
1296,good,good better better voice quality,4
1297,work fine first month,work fine first month,1
1298,best app call,best app call,5
1299,good,goodeasy use good quality voice,5
1300,fantastic app,fantastic app love rates easy access overseas,5
1301,rebtek charges regardless phone answered,making call certain region rebtel charges ringing regardless,2
1302,rebtel certainly good application,rebtel certainly good application difficulty noticed receiver times get ring mobile hear dial tone actually keeps us dilemma call answered upon trying multiple times relaunching app works,4
1303,using app one month,using app one month face issues xonnections call quality excellent worth buying rebtel app,5
1304,issues were…,issues resolved service great angry left bad review customer service always great deleted old review updated opinion thanks sorting everything quickly rebtel,5
1305,rebtel awesome,rebtel awesome,5
1306,palid global subscription…,palid global subscription unable calls,1
1307,account inactive…,account inactive remember pin try access clicking forgot password get new pin however work get internal server error message theres customer service number find website unable speak,2
1308,call quality excellent,call quality excellent,5
1309,easy best,easy best,5
1310,excellent,excellent feature nris,5
1311,good international calling…,good international calling service makes contact family friends simple reliable,5
1312,works every time instead dishing…success story,works every time instead dishing money bt,5
1313,first sound quality is…,first sound quality excellent long distance call,5
1314,really efficient convenient,really efficient convenient,5
1315,pleased,calling made easy many ways signing setting making call also need ask questions customer care nothing much trouble,5
1316,excellent far,excellent far,5
1317,app,actual app little bit confusing could little bit user friendly,4
1318,trying make calls dosent…,trying make calls dosent worj,1
1319,much pleased rebtel,much pleased rebtel need keep memory contact phone numbers busy schedule,5
1320,personally like,personally like initially hesitant use using comfortable secondly appreciate customer service support matters lot,5
1321,keep asking review,keep asking review ask simple question heard one bad customer service,1
1322,call disconnecting automatically,call disconnecting automatically able call using historycontact listhappening numbers,2
1323,excellent voice quality pakistan,excellent voice quality pakistan,5
1324,text customer service one…,text customer service one issue never reply,1
1325,app cool love,app cool love,5
1326,rebtel reliable,rebtel reliable quality phone call good prices best market gone cheaper services able understand daughter side line use many services think sort reference compare thanks,4
1327,mislead people offers…,mislead people offers lying unlimited services restriction cant even make call account get restricted absolutely reason would recommend,1
1328,unwanted take money card,subscription take money really disappointed return money hope rebtel thats registered master card really hate deactivate global subscription return money,1
1329,easy use value money,easy use value money,4
1330,great calling app,great calling app,5
1331,time voice quality good,time voice quality good may network problem cant blame rebel,3
1332,using rebtel talk family…,using rebtel talk family members another country several months satisfied service price convenience would recommend rebtel,4
1333,good,good program,5
1334,week even make…,week even make call even though pay unlimited monthly subscription kindly pls explain used rebtel since jan year good last week,2
1335,rebtal amazingly good cheap…,rebtal amazingly good cheap app making internationals calls many countrys offer unlimited calls small monthly fee pay go,5
1336,good,good application,5
1337,best way call home on…,best way call home deployment,5
1338,unauthorized credit card withdrawal,stop sneaking unauthorized debits pending 1000 charge 1500 subscription good 30 days please refund money cancel subscription immediately thank,2
1339,verry good call bosnia herzegovina crystal clear voice easy managing account thanks,verry good thanks,5
1340,dubious company first time happening,ok guys stop charging without authorization said global credit renews today 462018 never authorized anyways charged account 10 give actual credit phone completely unacceptable fraudulent busy dealing guys error pathetic someone office duping people,1
1341,great experience rebtel,quality call awesome,5
1342,give africa countries fare deal,make africa countries also enjoy 10 call per months like europeans,5
1343,high quality,high quality,5
1344,good,disturbances talk,3
1345,call quality quite poor,call quality quite poor frequent call drops,2
1346,say quality of…,say quality connection really great price also high,4
1347,perfect,perfect suggest sure fieends,5
1348,good,good,4
1349,calls country expensive,calls country expensive,4
1350,good sometimes call cut…,good sometimes call cut talking sometimes family recieve bell call quit good reasonable prize,4
1351,many difficulties get connected,many difficulties get connected several occasions many perhaps,2
1352,best service,best service,5
1353,amazing service affordable price,using rebtel allows contact family new zealand without worry ever running data costly phone bill usually follows,5
1354,app help alot,app help alot,5
1355,asowsm,asowsm im happy use app,5
1356,always good,always good,5
1357,good nigeria added…,good nigeria added unlimited call,1
1358,customers service good,customers service good,2
1359,subscription cancels every month,every month sudscribe rebtel order call family ireland every month subscription cancels go process frustrating dont want pay £899 month want £6 per month subscription per mo th signed one final attempt take custom somewhere else,1
1360,calls india breaks,calls india breaks,3
1361,times call people nigeria and…,times call people nigeria doesnt ring,3
1362,good connection,good connection,5
1363,good experience one…,good experience one country would beter make phone calls countries,5
1364,expensive limited callers,expensive limited callers,3
1365,excellent connection best prices,excellent connection best prices,5
1366,share bill,share bill charged calls says free give new zealand support number person contact please,1
1367,referred friend didnt get…,referred friend didnt get minutes purchase first time supposed get another minute youre charged dollar dollar twice didnt get anything referral didnt get anything either,1
1368,good service,good service,5
1369,definitely recommend rebtel app users,recommend rebtel friends wish join part rebtel wanted join great support contact team troubles,5
1370,good,good serviceprice bit high,4
1371,charged two times that…,charged two times time using app satisfactory app,1
1372,total scam please avoid,absolute scam credited account £5 able use contacted customer service twice answer,1
1373,couldnt find,couldnt find mobile switched reachable,3
1374,service economical reliable defects,service economical reliable two problems using app android settings set route international calls rebtel dial international number native dialer 10 time app fails activate call goes usual phone provider resulting horrific charges realize mobile providers charges rebtela fault failure call route rebtel fault app needed work reliably predictably problem sometimes app picks international call good system fails recognize number caller id might giving rebtel right number associate account rebtel needs figure associate phone account caller id phone fails two failures cant fault service,4
1375,best application ever,best application ever,4
1376,love,love long local minutes included access decent internet connection wont spend money calls,5
1377,extremely disappointed,used app gladly recomended friend order save money phone calls romania made sure app installed properly tested worked really well handset connected wifi network charges applied soon used rebtel app go internet connection lycamobile network charged phone calls standard rates eventhough made app therefore £10 balance left 10p speaking phone less hour,1
1378,cost,good conversation clear 40 minutes call card would get hrs amount,4
1379,terrible service,terrible service kept recording conversation disconnect call back number times communicate message,1
1380,get promised reward 10,get promised reward 10,1
1381,bad sound quality,bad sound quality,1
1382,excellent service,excellent service,5
1383,call go several times…,call go several times morning important business call worked finally end good experience calls go initial tries thanks,3
1384,best app calls,great way speak friends family abroad long want good value money,5
1385,top grade communication platform,top grade communication platform,4
1386,definitely satisfied,good connection quality sound amazing price international calls,5
1387,timer runs faster like rigged…,timer runs faster like rigged taxi meter call starts,1
1388,rebtel makes simple easy to…,rebtel makes simple easy make calls internationally local number need enter bunch numerals country code etcetc connection quick soundaudio quality good satisfied service customer supporthelp recommended service past friends,5
1389,good service,good service cheap calls good quality sound enquiries answered promptly,5
1390,ive used app months but…,ive used app months moved back yo country havent using app months charged becoz hard uninstall direct way contact becoming issue ive charged service im using anyone aware discontibue app plz inform asap,2
1391,cheap calls mum malta,using service ring mum malta unfortunately landline provider didnt include malta european deal even thoughmalta eu horrific bills one point rang mum weeks coz afford ring tech savvy enough skype thanks ever much service dubious first call home often 810 long calls month,5
1392,god price god sound,god price god sound,5
1393,immediate prompt,immediate prompt,4
1394,good plus,good plus,5
1395,affordable efficient,looking quality connections affordable efficient look else rebtel global solution,5
1396,best app make calls to…,best app make calls india quick connection clear conversation,5
1397,excellent call quality,excellent call quality using app three years never faced issue till,5
1398,easy use app,easy use app confusing times roaming especially dual sim phones,4
1399,excellent start finish,excellent start finish,5
1400,superb app excellent customer…,superb app excellent customer service,5
1401,fine service,fine service recomended,5
1402,stars,voice clarity awesome except times important thing made calling 57 countries rate thats stars😊😊 would recommend friends also,4
1403,awesome rebtel,go guys best international calling app,4
1404,make call number be…,make call number honest disappointing,2
1405,excellent app international calls,excellent app international calls never problem,5
1406,perfect,perfect monthly recaps minutes talked help plan package subscription buy helpful services,5
1407,clear voice quality talking…,clear voice quality talking overseas reasonableeffordable price,5
1408,satisfactory service,satisfactory service,4
1409,calls get dropped often,calls get dropped often single day make calls complete one conversation,2
1410,fast,fast cuts safe cheap enjoy,5
1411,last months calls droping day to…,last month calls droping day day bases month,1
1412,bogus company cloning rebtel,company requested 25usd bank account yet ive never applied services help make connection one please none lets get imposters,1
1413,wonderful app,wonderful app,4
1414,👍🏻,great service fair price,5
1415,bad experience first time,bad experience first time subscribed unlimited international calls today tried call india started calling minutes call dropped since trying call could connect anymore voiceover czech didnt understand also saying whenever trying call dont understand,1
1416,realy good sévices connecting quickly…,realy good sévices connecting quickly line clear thanks,5
1417,goooooooood,goooooooood,5
1418,great working,great working talk clearly without interupt,5
1419,great,really nice keep great relation users,5
1420,good service,good service,5
1421,high call quality time and…,high call quality time user friendly app,5
1422,hello,hello issue day dealt efficiently staff new dashboard open app good surnames dont show anymore cant click address book top changes would better thanks,4
1423,offers cheapest international…,offers cheapest international calling rates clarity really good subscriptions countries make frequent calls uae using world credits hope see subscription uae net calling facilities like skype whatsapp call etc banned,5
1424,good service part but…,good service part sometimes difficult call new numbers give feedback new number used number called naturally inconvenience look possibilities means cots offer unlimitted call,3
1425,good app,good app one call time place across globe,4
1426,worst company ever,worst company ever customer service people respondsblock account every days ask pay moneyits almost like extortion businessno competitors company playing way,1
1427,ive found rebtel reliable,ive found rebtel reliable,4
1428,time voice cut between…,time voice cut cut call redail number first think problem network changed internet service provider well,1
1429,exceptional customers rep,exceptional customers rep issues resolved promptly,5
1430,using rebtel last years…,using rebtel last years faced issues extremely happy rebtel support team,5
1431,rebtel great help to…,rebtel great help keep touch family internationally excellent reasonable price,5
1432,great service good interface,great service good interface call drops affordable pricing,5
1433,calls clearly connected,calls clearly connected,4
1434,best application gor…,best application gor internatinal calls ever seen,5
1435,sound quality excellent reduced…,sound quality excellent reduced price would nice,4
1436,impressive app,surprisengly good app calling internationally impressive unlimited subscription like 12 eur calling 56 countries,4
1437,good quality call good service,good quality call good service,5
1438,awesome,amazing app helps call anywhere world,5
1439,great experience rebtel,im making good quality international calls india hassle free simple convenient cheap top rebtels customer service good respond quick accurate,5
1440,satisfied customer,quick responding resolving concerns,5
1441,great app,great app intercepts international calls routes rebtel much lower cost,5
1442,good,far pleased service,4
1443,worth appyou call theifi…,worth appyou call theifi new zealand bought subscription ukraine working wasted moneyhope refund back,1
1444,great service,great service,5
1445,ziess glass,ziess glass,5
1446,amazing,amazing,5
1447,cost effective,cost effective good service sometimes connectivity issues,4
1448,hi activate service calls ot go…,hi activate service calls ot go need deactivate turn phone almost every time delete app downlaod also want know add people one line,2
1449,rebtel service great,rebtel service great enjoy use overseas clear voice thanks rebtel hope rebtel give unlimited call bangladesh,5
1450,great,great voice clarity good,5
1451,unbeatable rates price,referred friend love service rates best far,5
1452,good service time,audibility good,5
1453,amazing,calling service great affordable call friends family back home abroad,5
1454,love rebtel,excellent service excellent price love rebtel service,5
1455,great company excellent…,great company excellent service highly recommended,5
1456,good service thanks much,good service thanks much,5
1457,i´m happy rebtel,i´m happy rebtel,5
1458,problems far,problems far hopefully able use abroad,5
1459,exactly claims,works well ads hidden costs reliable easy use,5
1460,rebtel charges 50 times uk toll free number,12th february 2018 made rebtel call uk toll free 0800 number lasting 45 minutes charge amounted 2205 making call almost 050minute made call ordinary landline uk would charged 001 maximum,2
1461,call keeps dropping everytime its…,call keeps dropping everytime annoying,1
1462,app good customer service,rebtel good voice quality cost effective,2
1463,account restricted 1429079,hi actually reply ticket number 1429079 credit card expired 28 feb 2018 thats payment dispute please unlock account already mailed guys many times think didnt got email still mailing guys waiting email please unlock account soon possible,3
1464,bad customer service,bad customer service cost higher market poor calling quality,2
1465,great app,give ten 10 ten rating call claerity great saves lot ppl money calling state,5
1466,saying goes says on…,saying goes says tin cost effective never failed connection speech quality spot,5
1467,best best1,best best1,5
1468,best call quality,best call quality best price easy use would recommend rebtel best experience need stable internet connection,5
1469,like calling local number from…,like calling local number uk ireland issues much better whatsapp calls delays,5
1470,whatsapp call better quality but…,whatsapp call better quality rebtel pretty much cheap,2
1471,nicely done,begin guys value money subscriptionsecondlythe problem face good communication friendis lack enough battery support data rebtelthat compliment meaning dont face communication challenges anymorelast least customer service pretty pretty good everytime face challenge know guys help,5
1472,good price,good price however sometimes conversation recorded played back call,4
1473,nice product,nice product good connection super reasonable price,5
1474,good room lot improvement wrt call quality,positives,3
1475,enjoyed service a…,enjoyed service bit costly though problem experienced times disconnected middle conversation dint understand,4
1476,good service easy call anywhere,good service easy call anywhere especially ethiopia network connection big problem time short need improved,5
1477,excellent reliable international…,excellent reliable international calling card,5
1478,horrible,horrible add minutes phone working customer service number help,1
1479,rebtel great works,rebtel great works good connection good quality talk friends anytime want good price thank rebtel,5
1480,recommend rebtel others,recommend rebtel others,5
1481,amazing love,amazing great app,5
1482,would please make prices little…,would please make prices little better,4
1483,clear voice reasonable price,clear voice reasonable price,5
1484,convenient hassle free,convenient hassle free,5
1485,excellent,excellent would recommend service anyone,5
1486,awesome service,awesome service,5
1487,excellent call quality,excellent call quality easy use price pretty coveniente,5
1488,great reliable service less,great reliable service less,5
1489,worked well,worked well great connection good calls use,5
1490,awesome,awesome working without network also perfectly,5
1491,liked useful flaw…,liked useful flaw doesnt tell us phone switched busy calls get continue ring,4
1492,rebtel worth every dollar,rebtel worth every dollar call quality mostly great reason star reason call goes blank briefly times often happy rebtel customer,4
1493,right tool anyone wish get…,right tool anyone wish get connected family friends anywhere around world great deal using service months ease problem free thank,5
1494,useless one flop have…,useless one flop never ever used totally waste,1
